row_idx,prompt,ground_truth,predicted,correct
0,Did the red object reach the yellow mat?,no,no,1
1,Did the red object reach the yellow mat?,no,no,1
2,Did the red object reach the yellow mat?,no,yes,0
3,Did the red object reach the yellow mat?,no,no,1
4,Did the red object reach the yellow mat?,no,no,1
5,Did the red object reach the yellow mat?,yes,yes,1
6,Did the red object reach the yellow mat?,no,no,1
7,Did the red object reach the yellow mat?,yes,yes,1
8,Did the red object reach the yellow mat?,no,yes,0
9,Did the red object reach the yellow mat?,yes,no,0
10,Did the red object reach the yellow mat?,yes,no,0
11,Did the red object reach the yellow mat?,no,no,1
12,Did the red object reach the yellow mat?,yes,yes,1
13,Did the red object reach the yellow mat?,yes,yes,1
14,Did the red object reach the yellow mat?,no,no,1
15,Did the red object reach the yellow mat?,no,no,1
16,Did the red object reach the yellow mat?,no,no,1
17,Did the red object reach the yellow mat?,yes,yes,1
18,Did the red object reach the yellow mat?,no,yes,0
19,Did the red object reach the yellow mat?,yes,yes,1
20,Did the red object reach the yellow mat?,yes,no,0
21,Did the red object reach the yellow mat?,no,no,1
22,Did the red object reach the yellow mat?,yes,yes,1
23,Did the red object reach the yellow mat?,no,no,1
24,Did the red object reach the yellow mat?,no,no,1
25,Did the red object reach the yellow mat?,yes,yes,1
26,Did the red object reach the yellow mat?,no,no,1
27,Did the red object reach the yellow mat?,no,no,1
28,Did the red object reach the yellow mat?,yes,yes,1
29,Did the red object reach the yellow mat?,no,yes,0
30,Did the red object reach the yellow mat?,yes,no,0
31,Did the red object reach the yellow mat?,yes,yes,1
32,Did the red object reach the yellow mat?,yes,no,0
33,Did the red object reach the yellow mat?,yes,yes,1
34,Did the red object reach the yellow mat?,yes,yes,1
35,Did the red object reach the yellow mat?,no,no,1
36,Did the red object reach the yellow mat?,no,no,1
37,Did the red object reach the yellow mat?,no,no,1
38,Did the red object reach the yellow mat?,no,no,1
39,Did the red object reach the yellow mat?,no,no,1
40,Did the red object reach the yellow mat?,no,no,1
41,Did the red object reach the yellow mat?,no,no,1
42,Did the red object reach the yellow mat?,no,no,1
43,Did the red object reach the yellow mat?,yes,yes,1
44,Did the red object reach the yellow mat?,no,no,1
45,Did the red object reach the yellow mat?,yes,yes,1
46,Did the red object reach the yellow mat?,no,no,1
47,Did the red object reach the yellow mat?,yes,yes,1
48,Did the red object reach the yellow mat?,yes,no,0
49,Did the red object reach the yellow mat?,no,no,1
50,Did the red object reach the yellow mat?,no,no,1
51,Did the red object reach the yellow mat?,no,no,1
52,Did the red object reach the yellow mat?,yes,yes,1
53,Did the red object reach the yellow mat?,no,no,1
54,Did the red object reach the yellow mat?,no,no,1
55,Did the red object reach the yellow mat?,yes,yes,1
56,Did the red object reach the yellow mat?,no,no,1
57,Did the red object reach the yellow mat?,yes,no,0
58,Did the red object reach the yellow mat?,no,no,1
59,Did the red object reach the yellow mat?,yes,no,0
60,Did the red object reach the yellow mat?,yes,yes,1
61,Did the red object reach the yellow mat?,no,no,1
62,Did the red object reach the yellow mat?,yes,no,0
63,Did the red object reach the yellow mat?,yes,no,0
64,Did the red object reach the yellow mat?,no,no,1
65,Did the red object reach the yellow mat?,no,no,1
66,Did the red object reach the yellow mat?,no,no,1
67,Did the red object reach the yellow mat?,yes,yes,1
68,Did the red object reach the yellow mat?,no,no,1
