row_idx,prompt,correct,ground_truth,predicted
0,Did the red object reach the yellow mat?,1,no,no
1,Did the red object reach the yellow mat?,1,no,no
2,Did the red object reach the yellow mat?,0,no,yes
3,Did the red object reach the yellow mat?,1,no,no
4,Did the red object reach the yellow mat?,1,no,no
5,Did the red object reach the yellow mat?,1,yes,yes
6,Did the red object reach the yellow mat?,1,no,no
7,Did the red object reach the yellow mat?,1,yes,yes
8,Did the red object reach the yellow mat?,0,no,yes
9,Did the red object reach the yellow mat?,0,yes,no
10,Did the red object reach the yellow mat?,0,yes,no
11,Did the red object reach the yellow mat?,1,no,no
12,Did the red object reach the yellow mat?,1,yes,yes
13,Did the red object reach the yellow mat?,1,yes,yes
14,Did the red object reach the yellow mat?,1,no,no
15,Did the red object reach the yellow mat?,1,no,no
16,Did the red object reach the yellow mat?,1,no,no
17,Did the red object reach the yellow mat?,1,yes,yes
18,Did the red object reach the yellow mat?,0,no,yes
19,Did the red object reach the yellow mat?,1,yes,yes
20,Did the red object reach the yellow mat?,0,yes,no
21,Did the red object reach the yellow mat?,1,no,no
22,Did the red object reach the yellow mat?,1,yes,yes
23,Did the red object reach the yellow mat?,1,no,no
24,Did the red object reach the yellow mat?,1,no,no
25,Did the red object reach the yellow mat?,1,yes,yes
26,Did the red object reach the yellow mat?,1,no,no
27,Did the red object reach the yellow mat?,1,no,no
28,Did the red object reach the yellow mat?,1,yes,yes
29,Did the red object reach the yellow mat?,0,no,yes
30,Did the red object reach the yellow mat?,0,yes,no
31,Did the red object reach the yellow mat?,1,yes,yes
32,Did the red object reach the yellow mat?,0,yes,no
33,Did the red object reach the yellow mat?,1,yes,yes
34,Did the red object reach the yellow mat?,1,yes,yes
35,Did the red object reach the yellow mat?,1,no,no
36,Did the red object reach the yellow mat?,1,no,no
37,Did the red object reach the yellow mat?,1,no,no
38,Did the red object reach the yellow mat?,1,no,no
39,Did the red object reach the yellow mat?,1,no,no
40,Did the red object reach the yellow mat?,1,no,no
41,Did the red object reach the yellow mat?,1,no,no
42,Did the red object reach the yellow mat?,1,no,no
43,Did the red object reach the yellow mat?,1,yes,yes
44,Did the red object reach the yellow mat?,1,no,no
45,Did the red object reach the yellow mat?,1,yes,yes
46,Did the red object reach the yellow mat?,1,no,no
47,Did the red object reach the yellow mat?,1,yes,yes
48,Did the red object reach the yellow mat?,0,yes,no
49,Did the red object reach the yellow mat?,1,no,no
50,Did the red object reach the yellow mat?,1,no,no
51,Did the red object reach the yellow mat?,1,no,no
52,Did the red object reach the yellow mat?,1,yes,yes
53,Did the red object reach the yellow mat?,1,no,no
54,Did the red object reach the yellow mat?,1,no,no
55,Did the red object reach the yellow mat?,1,yes,yes
56,Did the red object reach the yellow mat?,1,no,no
57,Did the red object reach the yellow mat?,0,yes,no
58,Did the red object reach the yellow mat?,1,no,no
59,Did the red object reach the yellow mat?,0,yes,no
60,Did the red object reach the yellow mat?,1,yes,yes
61,Did the red object reach the yellow mat?,1,no,no
62,Did the red object reach the yellow mat?,0,yes,no
63,Did the red object reach the yellow mat?,0,yes,no
64,Did the red object reach the yellow mat?,1,no,no
