row_idx,question,correct,image_path
0,Are there any stationary red objects when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
1,How many stationary blue objects are there when the cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
2,How many rubber objects are stationary when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
3,What is the color of the object to collide with the yellow cube?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
4,What material is the object to collide with the rubber sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
5,What material is the last object to collide with the blue sphere?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
6,What shape is the yellow object that is stationary when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
7,What is the material of the yellow object that is stationary when the cylinder enters the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
8,Are there any cylinders that enter the scene after the cube enters the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
9,How many rubber objects enter the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
10,How many yellow objects enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10003/concat.jpg
11,Are there any moving red objects?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
12,How many moving yellow objects are there when the video begins?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
13,How many objects are moving when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
14,What material is the last object to collide with the yellow object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
15,What material is the first object to collide with the yellow object?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
16,What is the material of the first object to collide with the yellow cube?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
17,What is the shape of the blue object that is moving when the video ends?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
18,What material is the object that is stationary when the video ends?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
19,Are there any blue objects that enter the scene?,1,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
20,How many objects enter the scene?,0,/home/ievab2/run_models/concatenated_frames/concat_frames_8/video_10000-11000/video_10004/concat.jpg
