row_idx,prompt,correct,raw_score,src_idx_text
0,How many objects are moving when the video ends?,1,1.0,5301
1,How many collisions happen?,1,1.0,779
2,"Which of the following is responsible for the brown object's colliding with the yellow cylinder?
Options:
A. the presence of the blue object
B. the brown object's colliding with the blue object
C. the presence of the yellow metal cube
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,5527
3,How many cylinders are moving when the yellow cube enters the scene?,1,1.0,2708
4,"Which of the following will not happen without the cylinder?
Options:
A. The green cube and the red object collide
B. The yellow object collides with the red object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,6716
5,"Without the cube, which of the following will not happen?
Options:
A. The cylinder and the cyan sphere collide
B. The cylinder collides with the green sphere
C. The yellow object collides with the green sphere
D. The yellow object collides with the cyan object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,6706
6,How many moving objects are there?,1,1.0,3266
7,How many collisions happen?,1,1.0,5442
8,Are there any moving rubber objects when the video ends?,1,1.0,2013
9,What shape is the object that is stationary when the video ends?,1,1.0,436
10,How many rubber objects are moving?,1,1.0,56
11,"If the purple sphere is removed, what will happen?
Options:
A. The yellow cylinder and the purple rubber cylinder collide
B. The metal object and the purple rubber cylinder collide
C. The metal cylinder and the blue sphere collide
D. The purple rubber cylinder and the blue sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,7464
12,Are there any brown spheres that enter the scene before the blue object enters the scene?,1,1.0,3570
13,How many yellow objects exit the scene?,1,1.0,3638
14,What is the color of the moving metal sphere when the cylinder enters the scene?,1,1.0,898
15,How many spheres are stationary?,1,1.0,684
16,"Which of the following is not responsible for the collision between the purple cylinder and the blue object?
Options:
A. the cyan cylinder's entrance
B. the presence of the cyan metal cylinder
C. the metal cube's colliding with the blue cube
D. the cyan object's colliding with the purple cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,5591
17,Are there any moving rubber objects when the red metal cylinder enters the scene?,0,0.0,2002
18,Are there any cubes that exit the scene after the green object enters the scene?,0,0.0,3317
19,How many moving metal objects are there?,1,1.0,3718
20,What is the color of the object to collide with the metal cylinder?,1,1.0,652
21,"What will not happen if the metal object is removed?
Options:
A. The cyan cylinder collides with the brown cylinder
B. The brown cylinder collides with the gray object
C. The green object collides with the gray cube
D. The cyan object and the gray cube collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",0,0.0,7589
22,How many objects enter the scene?,1,1.0,2507
23,Are there any rubber spheres that enter the scene?,1,1.0,1207
24,How many moving gray objects are there when the video ends?,1,1.0,3212
25,"Without the cyan sphere, which of the following will happen?
Options:
A. The cube collides with the cylinder
B. The cube and the green sphere collide
C. The green sphere and the cylinder collide
D. The yellow sphere and the green sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,7007
26,Are there any metal objects that exit the scene after the blue sphere enters the scene?,1,1.0,3801
27,Are there any purple spheres that enter the scene after the cylinder enters the scene?,1,1.0,4483
28,How many collisions happen before the sphere enters the scene?,1,1.0,2583
29,What is the shape of the stationary object when the cylinder enters the scene?,1,1.0,4338
30,"Which of the following is not responsible for the collision between the purple object and the brown cylinder?
Options:
A. the collision between the purple object and the metal sphere
B. the presence of the metal object
C. the green object's entering the scene
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,6229
31,What material is the stationary object when the sphere enters the scene?,1,1.0,2041
32,How many collisions happen after the metal sphere enters the scene?,1,1.0,317
33,Are there any rubber cubes that exit the scene after the sphere enters the scene?,1,1.0,3361
34,How many objects enter the scene?,0,0.0,3164
35,What color is the first object to collide with the metal sphere?,1,1.0,828
36,"Which of the following is not responsible for the collision between the yellow sphere and the cylinder?
Options:
A. the green object's colliding with the metal object
B. the presence of the rubber cube
C. the red object's entrance
D. the collision between the red sphere and the green sphere
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,5988
37,"Which of the following is responsible for the rubber cylinder's colliding with the sphere?
Options:
A. the cube's entering the scene
B. the sphere's colliding with the cube
C. the presence of the blue metal cylinder
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,5870
38,"Which of the following is not responsible for the yellow object's colliding with the sphere?
Options:
A. the cube's colliding with the metal cylinder
B. the rubber cylinder's entrance
C. the presence of the red object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,5595
39,"If the gray sphere is removed, which event will happen?
Options:
A. The red object and the rubber sphere collide
B. The cylinder collides with the rubber sphere
C. The cylinder collides with the red object
D. The red object and the purple metal sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",1,1.0,7181
40,How many moving spheres are there when the video ends?,1,1.0,1178
41,What color is the object to collide with the purple cube?,1,1.0,3741
