question_id,prompt,answer,correct,raw_score
video_10003_0,How many objects are moving when the video ends?,,1,1.0
video_10003_1,How many collisions happen?,,1,1.0
video_10003_2,"Which of the following is responsible for the brown object's colliding with the yellow cylinder?
Options:
A. the presence of the blue object
B. the brown object's colliding with the blue object
C. the presence of the yellow metal cube
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10003_3,How many cylinders are moving when the yellow cube enters the scene?,,1,1.0
video_10003_4,"Which of the following will not happen without the cylinder?
Options:
A. The green cube and the red object collide
B. The yellow object collides with the red object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10003_5,"Without the cube, which of the following will not happen?
Options:
A. The cylinder and the cyan sphere collide
B. The cylinder collides with the green sphere
C. The yellow object collides with the green sphere
D. The yellow object collides with the cyan object
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10003_6,How many moving objects are there?,,1,1.0
video_10003_7,How many collisions happen?,,1,1.0
video_10003_8,Are there any moving rubber objects when the video ends?,,1,1.0
video_10003_9,What shape is the object that is stationary when the video ends?,,1,1.0
video_10003_10,How many rubber objects are moving?,,1,1.0
video_10004_0,"If the purple sphere is removed, what will happen?
Options:
A. The yellow cylinder and the purple rubber cylinder collide
B. The metal object and the purple rubber cylinder collide
C. The metal cylinder and the blue sphere collide
D. The purple rubber cylinder and the blue sphere collide
Multiple choices may be correct, and possibly none.
If none are correct, answer: N/A.
Answer with the option text(s). If multiple, separate with ' || '.",,1,1.0
video_10004_1,Are there any brown spheres that enter the scene before the blue object enters the scene?,,1,1.0
video_10004_2,How many yellow objects exit the scene?,,1,1.0
video_10004_3,What is the color of the moving metal sphere when the cylinder enters the scene?,,1,1.0
video_10004_4,How many spheres are stationary?,,1,1.0
