row_idx,prompt,correct,ground_truth,predicted
0,Did the red object reach the yellow mat?,1,yes,yes
1,Did the red object reach the yellow mat?,1,yes,yes
2,Did the red object reach the yellow mat?,1,yes,yes
3,Did the red object reach the yellow mat?,0,no,yes
4,Did the red object reach the yellow mat?,1,no,no
5,Did the red object reach the yellow mat?,1,yes,yes
6,Did the red object reach the yellow mat?,1,no,no
7,Did the red object reach the yellow mat?,1,yes,yes
8,Did the red object reach the yellow mat?,0,no,yes
9,Did the red object reach the yellow mat?,1,yes,yes
10,Did the red object reach the yellow mat?,0,no,yes
11,Did the red object reach the yellow mat?,1,yes,yes
12,Did the red object reach the yellow mat?,1,no,no
13,Did the red object reach the yellow mat?,1,yes,yes
14,Did the red object reach the yellow mat?,1,no,no
15,Did the red object reach the yellow mat?,1,yes,yes
16,Did the red object reach the yellow mat?,0,no,yes
17,Did the red object reach the yellow mat?,0,no,yes
18,Did the red object reach the yellow mat?,1,no,no
19,Did the red object reach the yellow mat?,1,no,no
20,Did the red object reach the yellow mat?,1,no,no
21,Did the red object reach the yellow mat?,0,no,yes
22,Did the red object reach the yellow mat?,1,yes,yes
23,Did the red object reach the yellow mat?,1,no,no
24,Did the red object reach the yellow mat?,1,no,no
25,Did the red object reach the yellow mat?,0,no,yes
26,Did the red object reach the yellow mat?,1,yes,yes
27,Did the red object reach the yellow mat?,1,no,no
28,Did the red object reach the yellow mat?,1,yes,yes
29,Did the red object reach the yellow mat?,1,yes,yes
30,Did the red object reach the yellow mat?,1,no,no
31,Did the red object reach the yellow mat?,1,yes,yes
32,Did the red object reach the yellow mat?,1,yes,yes
33,Did the red object reach the yellow mat?,1,yes,yes
34,Did the red object reach the yellow mat?,1,no,no
35,Did the red object reach the yellow mat?,1,yes,yes
36,Did the red object reach the yellow mat?,0,no,yes
37,Did the red object reach the yellow mat?,1,yes,yes
38,Did the red object reach the yellow mat?,1,no,no
39,Did the red object reach the yellow mat?,1,no,no
40,Did the red object reach the yellow mat?,1,no,no
41,Did the red object reach the yellow mat?,0,no,yes
42,Did the red object reach the yellow mat?,1,no,no
43,Did the red object reach the yellow mat?,1,yes,yes
44,Did the red object reach the yellow mat?,1,yes,yes
45,Did the red object reach the yellow mat?,1,no,no
46,Did the red object reach the yellow mat?,1,yes,yes
47,Did the red object reach the yellow mat?,1,no,no
48,Did the red object reach the yellow mat?,1,no,no
49,Did the red object reach the yellow mat?,0,no,yes
50,Did the red object reach the yellow mat?,1,no,no
51,Did the red object reach the yellow mat?,1,yes,yes
52,Did the red object reach the yellow mat?,1,yes,yes
53,Did the red object reach the yellow mat?,1,no,no
54,Did the red object reach the yellow mat?,1,yes,yes
55,Did the red object reach the yellow mat?,1,no,no
56,Did the red object reach the yellow mat?,1,yes,yes
