row_idx,prompt,correct,raw_score
0,Are there any stationary red objects when the video begins?,1,1.0
1,How many stationary blue objects are there when the cube enters the scene?,1,1.0
2,How many rubber objects are stationary when the video ends?,1,1.0
3,What is the color of the object to collide with the yellow cube?,1,1.0
4,What material is the object to collide with the rubber sphere?,1,1.0
5,What material is the last object to collide with the blue sphere?,1,1.0
6,What shape is the yellow object that is stationary when the video begins?,1,1.0
7,What is the material of the yellow object that is stationary when the cylinder enters the scene?,1,1.0
8,Are there any cylinders that enter the scene after the cube enters the scene?,1,1.0
9,How many rubber objects enter the scene?,1,1.0
10,How many yellow objects enter the scene?,1,1.0
11,Are there any moving red objects?,1,1.0
12,How many moving yellow objects are there when the video begins?,1,1.0
13,How many objects are moving when the video ends?,0,0.0
14,What material is the last object to collide with the yellow object?,1,1.0
15,What material is the first object to collide with the yellow object?,1,1.0
16,What is the material of the first object to collide with the yellow cube?,1,1.0
17,What is the shape of the blue object that is moving when the video ends?,0,0.0
18,What material is the object that is stationary when the video ends?,1,1.0
19,Are there any blue objects that enter the scene?,1,1.0
20,How many objects enter the scene?,1,1.0
21,How many collisions happen?,1,1.0
22,Are there any stationary purple objects when the video begins?,1,1.0
23,How many spheres are moving when the video ends?,1,1.0
24,How many moving rubber objects are there when the video ends?,1,1.0
25,What shape is the object to collide with the gray cylinder?,1,1.0
26,What is the color of the first object to collide with the blue object?,1,1.0
27,What is the material of the last object to collide with the purple cylinder?,1,1.0
28,What color is the moving cylinder when the video begins?,1,1.0
29,What color is the moving rubber object when the video begins?,1,1.0
30,Are there any cylinders that enter the scene before the cube enters the scene?,1,1.0
31,How many cylinders enter the scene before the cube enters the scene?,1,1.0
32,How many collisions happen?,1,1.0
33,Are there any moving purple objects?,1,1.0
34,How many moving objects are there when the video ends?,0,0.0
35,How many purple objects are stationary when the video begins?,1,1.0
36,What color is the last object to collide with the brown object?,1,1.0
37,What is the color of the first object to collide with the brown cube?,0,0.0
38,What is the material of the object to collide with the yellow object?,1,1.0
39,What color is the stationary sphere?,1,1.0
40,What color is the stationary sphere when the cylinder enters the scene?,1,1.0
41,Are there any yellow objects that enter the scene?,1,1.0
42,How many collisions happen?,1,1.0
43,How many spheres enter the scene?,1,1.0
44,Are there any stationary green objects?,1,1.0
45,How many cubes are moving?,1,1.0
46,How many stationary rubber objects are there when the video begins?,1,1.0
47,What shape is the object to collide with the blue object?,1,1.0
48,What is the material of the first object to collide with the purple sphere?,1,1.0
49,What is the material of the object that enters the scene?,1,1.0
50,What color is the stationary rubber sphere?,1,1.0
51,What shape is the green object that is moving when the video ends?,1,1.0
52,Are there any objects that enter the scene?,1,1.0
53,How many green cylinders enter the scene after the red object enters the scene?,1,1.0
54,How many collisions happen after the red sphere enters the scene?,1,1.0
55,Are there any stationary red objects when the video ends?,1,1.0
56,How many rubber objects are moving?,1,1.0
57,How many moving objects are there when the video ends?,0,0.0
58,What shape is the last object to collide with the purple sphere?,1,1.0
59,What material is the last object that enters the scene?,1,1.0
60,What material is the first object to collide with the purple sphere?,1,1.0
61,What material is the object that is stationary?,1,1.0
62,What shape is the stationary metal object when the sphere enters the scene?,1,1.0
63,Are there any spheres that enter the scene before the cylinder enters the scene?,1,1.0
64,How many rubber spheres enter the scene?,1,1.0
65,How many cubes exit the scene?,1,1.0
66,Are there any moving brown objects when the video ends?,1,1.0
67,How many green objects are stationary when the video begins?,1,1.0
68,How many moving brown objects are there?,1,1.0
69,What material is the first object to collide with the cylinder?,1,1.0
70,What is the shape of the first object to collide with the rubber cylinder?,1,1.0
71,What color is the object to collide with the cyan object?,1,1.0
72,What shape is the object that is moving when the video begins?,1,1.0
73,What shape is the rubber object that is moving when the video ends?,0,0.0
74,Are there any metal objects that enter the scene?,1,1.0
75,How many yellow spheres enter the scene?,1,1.0
76,How many green spheres enter the scene?,1,1.0
77,Are there any moving green objects when the blue sphere enters the scene?,1,1.0
78,How many rubber objects are moving?,1,1.0
79,How many metal objects are moving when the video ends?,1,1.0
80,What color is the first object to collide with the green object?,1,1.0
81,What is the material of the last object to collide with the green cylinder?,1,1.0
82,What is the material of the object to collide with the red object?,1,1.0
83,What is the material of the object that is stationary when the video begins?,1,1.0
84,What is the shape of the metal object that is stationary when the video begins?,1,1.0
85,Are there any yellow spheres that enter the scene?,1,1.0
86,How many metal spheres enter the scene?,0,0.0
87,How many metal objects enter the scene?,1,1.0
88,Are there any stationary green objects when the video begins?,1,1.0
89,How many gray objects are stationary when the video begins?,1,1.0
90,How many objects are moving when the video ends?,0,0.0
91,What is the material of the object to collide with the purple sphere?,1,1.0
92,What is the color of the first object to collide with the metal cylinder?,1,1.0
93,What color is the object to collide with the purple object?,1,1.0
94,What is the material of the stationary object when the purple sphere enters the scene?,1,1.0
95,What is the shape of the stationary metal object when the video begins?,1,1.0
96,Are there any purple spheres that enter the scene before the metal sphere enters the scene?,1,1.0
97,How many collisions happen after the metal sphere enters the scene?,1,1.0
98,How many collisions happen after the rubber sphere enters the scene?,1,1.0
99,Are there any stationary purple objects when the cube enters the scene?,1,1.0
100,How many moving objects are there when the video ends?,0,0.0
