row_idx,question_id,frames_dir,n_frames,correct,raw_score,category,prompt,src_idx_image
0,video_10003_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,Are there any stationary red objects when the video begins?,5301
1,video_10003_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many stationary blue objects are there when the cube enters the scene?,779
2,video_10003_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many rubber objects are stationary when the video ends?,5527
3,video_10003_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What is the color of the object to collide with the yellow cube?,2708
4,video_10003_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What material is the object to collide with the rubber sphere?,6716
5,video_10003_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What material is the last object to collide with the blue sphere?,6706
6,video_10003_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What shape is the yellow object that is stationary when the video begins?,3266
7,video_10003_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What is the material of the yellow object that is stationary when the cylinder enters the scene?,5442
8,video_10003_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,Are there any cylinders that enter the scene after the cube enters the scene?,2013
9,video_10003_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many rubber objects enter the scene?,436
10,video_10003_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many yellow objects enter the scene?,56
11,video_10004_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,Are there any moving red objects?,7464
12,video_10004_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,How many moving yellow objects are there when the video begins?,3570
13,video_10004_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,How many objects are moving when the video ends?,3638
14,video_10004_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,What material is the last object to collide with the yellow object?,898
15,video_10004_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,What material is the first object to collide with the yellow object?,684
16,video_10004_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,What is the material of the first object to collide with the yellow cube?,5591
17,video_10004_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,0,0.0,descriptive,What is the shape of the blue object that is moving when the video ends?,2002
18,video_10004_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,0,0.0,descriptive,What material is the object that is stationary when the video ends?,3317
19,video_10004_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,Are there any blue objects that enter the scene?,3718
20,video_10004_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,How many objects enter the scene?,652
21,video_10004_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,0,0.0,descriptive,How many collisions happen?,7589
22,video_10013_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,Are there any stationary purple objects when the video begins?,2507
23,video_10013_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many spheres are moving when the video ends?,1207
24,video_10013_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,How many moving rubber objects are there when the video ends?,3212
25,video_10013_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10013,8,1,1.0,descriptive,What shape is the object to collide with the gray cylinder?,7007
