row_idx,prompt,correct,ground_truth,predicted
0,Did the red domino fall on the yellow mat?,1,no,no
1,Did the red domino fall on the yellow mat?,1,yes,yes
2,Did the red domino fall on the yellow mat?,0,no,yes
3,Did the red domino fall on the yellow mat?,1,yes,yes
4,Did the red domino fall on the yellow mat?,1,yes,yes
5,Did the red domino fall on the yellow mat?,1,yes,yes
6,Did the red domino fall on the yellow mat?,0,no,yes
7,Did the red domino fall on the yellow mat?,1,no,no
8,Did the red domino fall on the yellow mat?,1,yes,yes
9,Did the red domino fall on the yellow mat?,1,no,no
10,Did the red domino fall on the yellow mat?,1,no,no
11,Did the red domino fall on the yellow mat?,0,yes,no
12,Did the red domino fall on the yellow mat?,1,no,no
13,Did the red domino fall on the yellow mat?,1,yes,yes
14,Did the red domino fall on the yellow mat?,1,yes,yes
15,Did the red domino fall on the yellow mat?,1,no,no
16,Did the red domino fall on the yellow mat?,1,no,no
17,Did the red domino fall on the yellow mat?,1,yes,yes
18,Did the red domino fall on the yellow mat?,1,no,no
19,Did the red domino fall on the yellow mat?,1,yes,yes
20,Did the red domino fall on the yellow mat?,1,no,no
21,Did the red domino fall on the yellow mat?,1,no,no
22,Did the red domino fall on the yellow mat?,1,yes,yes
23,Did the red domino fall on the yellow mat?,1,yes,yes
24,Did the red domino fall on the yellow mat?,1,no,no
25,Did the red domino fall on the yellow mat?,1,no,no
26,Did the red domino fall on the yellow mat?,1,no,no
27,Did the red domino fall on the yellow mat?,1,yes,yes
28,Did the red domino fall on the yellow mat?,1,no,no
29,Did the red domino fall on the yellow mat?,1,no,no
30,Did the red domino fall on the yellow mat?,1,no,no
31,Did the red domino fall on the yellow mat?,1,no,no
32,Did the red domino fall on the yellow mat?,1,no,no
33,Did the red domino fall on the yellow mat?,1,yes,yes
34,Did the red domino fall on the yellow mat?,1,yes,yes
35,Did the red domino fall on the yellow mat?,1,yes,yes
36,Did the red domino fall on the yellow mat?,1,yes,yes
37,Did the red domino fall on the yellow mat?,0,no,yes
38,Did the red domino fall on the yellow mat?,1,no,no
39,Did the red domino fall on the yellow mat?,1,no,no
40,Did the red domino fall on the yellow mat?,1,no,no
41,Did the red domino fall on the yellow mat?,1,yes,yes
42,Did the red domino fall on the yellow mat?,1,yes,yes
43,Did the red domino fall on the yellow mat?,1,yes,yes
44,Did the red domino fall on the yellow mat?,1,yes,yes
45,Did the red domino fall on the yellow mat?,1,no,no
46,Did the red domino fall on the yellow mat?,1,yes,yes
47,Did the red domino fall on the yellow mat?,1,yes,yes
48,Did the red domino fall on the yellow mat?,1,no,no
49,Did the red domino fall on the yellow mat?,1,no,no
50,Did the red domino fall on the yellow mat?,1,yes,yes
51,Did the red domino fall on the yellow mat?,1,yes,yes
52,Did the red domino fall on the yellow mat?,1,yes,yes
53,Did the red domino fall on the yellow mat?,1,no,no
54,Did the red domino fall on the yellow mat?,1,no,no
55,Did the red domino fall on the yellow mat?,1,no,no
56,Did the red domino fall on the yellow mat?,1,no,no
57,Did the red domino fall on the yellow mat?,1,no,no
58,Did the red domino fall on the yellow mat?,1,no,no
59,Did the red domino fall on the yellow mat?,1,yes,yes
60,Did the red domino fall on the yellow mat?,1,no,no
61,Did the red domino fall on the yellow mat?,0,yes,no
62,Did the red domino fall on the yellow mat?,1,no,no
63,Did the red domino fall on the yellow mat?,1,no,no
64,Did the red domino fall on the yellow mat?,1,yes,yes
65,Did the red domino fall on the yellow mat?,1,no,no
66,Did the red domino fall on the yellow mat?,1,no,no
67,Did the red domino fall on the yellow mat?,1,yes,yes
68,Did the red domino fall on the yellow mat?,1,no,no
69,Did the red domino fall on the yellow mat?,1,no,no
70,Did the red domino fall on the yellow mat?,1,yes,yes
71,Did the red domino fall on the yellow mat?,1,yes,yes
72,Did the red domino fall on the yellow mat?,1,no,no
73,Did the red domino fall on the yellow mat?,1,yes,yes
74,Did the red domino fall on the yellow mat?,1,no,no
75,Did the red domino fall on the yellow mat?,1,yes,yes
76,Did the red domino fall on the yellow mat?,1,no,no
77,Did the red domino fall on the yellow mat?,0,no,yes
78,Did the red domino fall on the yellow mat?,1,yes,yes
79,Did the red domino fall on the yellow mat?,1,no,no
80,Did the red domino fall on the yellow mat?,1,no,no
81,Did the red domino fall on the yellow mat?,1,yes,yes
82,Did the red domino fall on the yellow mat?,1,yes,yes
83,Did the red domino fall on the yellow mat?,1,no,no
84,Did the red domino fall on the yellow mat?,1,no,no
85,Did the red domino fall on the yellow mat?,1,yes,yes
86,Did the red domino fall on the yellow mat?,1,yes,yes
87,Did the red domino fall on the yellow mat?,1,no,no
88,Did the red domino fall on the yellow mat?,1,no,no
89,Did the red domino fall on the yellow mat?,1,no,no
90,Did the red domino fall on the yellow mat?,1,no,no
91,Did the red domino fall on the yellow mat?,1,yes,yes
92,Did the red domino fall on the yellow mat?,1,no,no
93,Did the red domino fall on the yellow mat?,1,yes,yes
94,Did the red domino fall on the yellow mat?,1,no,no
95,Did the red domino fall on the yellow mat?,1,yes,yes
96,Did the red domino fall on the yellow mat?,1,no,no
97,Did the red domino fall on the yellow mat?,1,no,no
98,Did the red domino fall on the yellow mat?,1,yes,yes
99,Did the red domino fall on the yellow mat?,0,no,yes
100,Did the red domino fall on the yellow mat?,1,no,no
101,Did the red domino fall on the yellow mat?,1,no,no
102,Did the red domino fall on the yellow mat?,1,no,no
103,Did the red domino fall on the yellow mat?,1,yes,yes
104,Did the red domino fall on the yellow mat?,1,yes,yes
105,Did the red domino fall on the yellow mat?,1,yes,yes
106,Did the red domino fall on the yellow mat?,1,no,no
107,Did the red domino fall on the yellow mat?,1,no,no
108,Did the red domino fall on the yellow mat?,1,yes,yes
109,Did the red domino fall on the yellow mat?,1,no,no
110,Did the red domino fall on the yellow mat?,1,no,no
111,Did the red domino fall on the yellow mat?,0,no,yes
112,Did the red domino fall on the yellow mat?,1,yes,yes
113,Did the red domino fall on the yellow mat?,1,yes,yes
114,Did the red domino fall on the yellow mat?,1,no,no
115,Did the red domino fall on the yellow mat?,1,yes,yes
116,Did the red domino fall on the yellow mat?,0,no,yes
117,Did the red domino fall on the yellow mat?,1,yes,yes
118,Did the red domino fall on the yellow mat?,0,no,yes
119,Did the red domino fall on the yellow mat?,1,no,no
120,Did the red domino fall on the yellow mat?,1,yes,yes
121,Did the red domino fall on the yellow mat?,1,yes,yes
122,Did the red domino fall on the yellow mat?,1,yes,yes
123,Did the red domino fall on the yellow mat?,1,no,no
124,Did the red domino fall on the yellow mat?,1,yes,yes
125,Did the red domino fall on the yellow mat?,1,no,no
126,Did the red domino fall on the yellow mat?,1,no,no
127,Did the red domino fall on the yellow mat?,1,yes,yes
128,Did the red domino fall on the yellow mat?,1,no,no
129,Did the red domino fall on the yellow mat?,1,no,no
130,Did the red domino fall on the yellow mat?,1,yes,yes
131,Did the red domino fall on the yellow mat?,1,no,no
132,Did the red domino fall on the yellow mat?,1,yes,yes
133,Did the red domino fall on the yellow mat?,1,yes,yes
134,Did the red domino fall on the yellow mat?,1,no,no
135,Did the red domino fall on the yellow mat?,1,yes,yes
136,Did the red domino fall on the yellow mat?,1,yes,yes
137,Did the red domino fall on the yellow mat?,1,yes,yes
138,Did the red domino fall on the yellow mat?,1,yes,yes
139,Did the red domino fall on the yellow mat?,1,no,no
140,Did the red domino fall on the yellow mat?,1,yes,yes
141,Did the red domino fall on the yellow mat?,1,yes,yes
142,Did the red domino fall on the yellow mat?,1,no,no
143,Did the red domino fall on the yellow mat?,1,yes,yes
144,Did the red domino fall on the yellow mat?,0,no,yes
145,Did the red domino fall on the yellow mat?,1,no,no
146,Did the red domino fall on the yellow mat?,1,no,no
147,Did the red domino fall on the yellow mat?,1,no,no
148,Did the red domino fall on the yellow mat?,0,no,yes
149,Did the red domino fall on the yellow mat?,1,yes,yes
150,Did the red domino fall on the yellow mat?,1,yes,yes
151,Did the red domino fall on the yellow mat?,1,no,no
152,Did the red domino fall on the yellow mat?,1,yes,yes
153,Did the red domino fall on the yellow mat?,0,no,yes
154,Did the red domino fall on the yellow mat?,1,no,no
155,Did the red domino fall on the yellow mat?,1,no,no
156,Did the red domino fall on the yellow mat?,1,yes,yes
157,Did the red domino fall on the yellow mat?,1,yes,yes
158,Did the red domino fall on the yellow mat?,1,no,no
159,Did the red domino fall on the yellow mat?,1,yes,yes
160,Did the red domino fall on the yellow mat?,1,yes,yes
161,Did the red domino fall on the yellow mat?,0,no,yes
162,Did the red domino fall on the yellow mat?,1,yes,yes
163,Did the red domino fall on the yellow mat?,1,no,no
164,Did the red domino fall on the yellow mat?,1,no,no
165,Did the red domino fall on the yellow mat?,1,yes,yes
166,Did the red domino fall on the yellow mat?,1,no,no
167,Did the red domino fall on the yellow mat?,1,no,no
168,Did the red domino fall on the yellow mat?,1,yes,yes
169,Did the red domino fall on the yellow mat?,1,no,no
170,Did the red domino fall on the yellow mat?,1,no,no
171,Did the red domino fall on the yellow mat?,1,yes,yes
172,Did the red domino fall on the yellow mat?,1,yes,yes
173,Did the red domino fall on the yellow mat?,1,yes,yes
174,Did the red domino fall on the yellow mat?,1,no,no
175,Did the red domino fall on the yellow mat?,1,no,no
176,Did the red domino fall on the yellow mat?,1,yes,yes
177,Did the red domino fall on the yellow mat?,1,no,no
178,Did the red domino fall on the yellow mat?,1,no,no
179,Did the red domino fall on the yellow mat?,1,yes,yes
180,Did the red domino fall on the yellow mat?,1,no,no
181,Did the red domino fall on the yellow mat?,1,yes,yes
182,Did the red domino fall on the yellow mat?,0,no,yes
183,Did the red domino fall on the yellow mat?,1,yes,yes
184,Did the red domino fall on the yellow mat?,1,no,no
185,Did the red domino fall on the yellow mat?,1,yes,yes
186,Did the red domino fall on the yellow mat?,1,yes,yes
187,Did the red domino fall on the yellow mat?,1,no,no
188,Did the red domino fall on the yellow mat?,1,yes,yes
189,Did the red domino fall on the yellow mat?,1,no,no
190,Did the red domino fall on the yellow mat?,1,yes,yes
191,Did the red domino fall on the yellow mat?,1,yes,yes
192,Did the red domino fall on the yellow mat?,1,no,no
193,Did the red domino fall on the yellow mat?,1,yes,yes
194,Did the red domino fall on the yellow mat?,1,no,no
195,Did the red domino fall on the yellow mat?,1,yes,yes
196,Did the red domino fall on the yellow mat?,1,yes,yes
197,Did the red domino fall on the yellow mat?,1,no,no
198,Did the red domino fall on the yellow mat?,0,yes,no
199,Did the red domino fall on the yellow mat?,1,no,no
200,Did the red domino fall on the yellow mat?,1,yes,yes
