row_idx,prompt,ground_truth,predicted,correct
0,Did the red object reach the yellow mat?,yes,yes,1
1,Did the red object reach the yellow mat?,yes,yes,1
2,Did the red object reach the yellow mat?,yes,yes,1
3,Did the red object reach the yellow mat?,no,yes,0
4,Did the red object reach the yellow mat?,no,no,1
5,Did the red object reach the yellow mat?,yes,yes,1
6,Did the red object reach the yellow mat?,no,no,1
7,Did the red object reach the yellow mat?,yes,yes,1
8,Did the red object reach the yellow mat?,no,yes,0
9,Did the red object reach the yellow mat?,yes,yes,1
10,Did the red object reach the yellow mat?,no,yes,0
11,Did the red object reach the yellow mat?,yes,yes,1
12,Did the red object reach the yellow mat?,no,no,1
13,Did the red object reach the yellow mat?,yes,yes,1
14,Did the red object reach the yellow mat?,no,no,1
15,Did the red object reach the yellow mat?,yes,yes,1
16,Did the red object reach the yellow mat?,no,yes,0
17,Did the red object reach the yellow mat?,no,yes,0
18,Did the red object reach the yellow mat?,no,no,1
19,Did the red object reach the yellow mat?,no,no,1
20,Did the red object reach the yellow mat?,no,no,1
21,Did the red object reach the yellow mat?,no,yes,0
22,Did the red object reach the yellow mat?,yes,yes,1
23,Did the red object reach the yellow mat?,no,no,1
24,Did the red object reach the yellow mat?,no,no,1
25,Did the red object reach the yellow mat?,no,yes,0
26,Did the red object reach the yellow mat?,yes,yes,1
27,Did the red object reach the yellow mat?,no,no,1
28,Did the red object reach the yellow mat?,yes,yes,1
29,Did the red object reach the yellow mat?,yes,yes,1
30,Did the red object reach the yellow mat?,no,no,1
31,Did the red object reach the yellow mat?,yes,yes,1
32,Did the red object reach the yellow mat?,yes,yes,1
33,Did the red object reach the yellow mat?,yes,yes,1
34,Did the red object reach the yellow mat?,no,no,1
35,Did the red object reach the yellow mat?,yes,yes,1
36,Did the red object reach the yellow mat?,no,yes,0
37,Did the red object reach the yellow mat?,yes,yes,1
38,Did the red object reach the yellow mat?,no,no,1
39,Did the red object reach the yellow mat?,no,no,1
40,Did the red object reach the yellow mat?,no,no,1
41,Did the red object reach the yellow mat?,no,yes,0
42,Did the red object reach the yellow mat?,no,no,1
43,Did the red object reach the yellow mat?,yes,yes,1
44,Did the red object reach the yellow mat?,yes,yes,1
45,Did the red object reach the yellow mat?,no,no,1
46,Did the red object reach the yellow mat?,yes,yes,1
47,Did the red object reach the yellow mat?,no,no,1
48,Did the red object reach the yellow mat?,no,no,1
49,Did the red object reach the yellow mat?,no,yes,0
50,Did the red object reach the yellow mat?,no,no,1
51,Did the red object reach the yellow mat?,yes,yes,1
52,Did the red object reach the yellow mat?,yes,yes,1
53,Did the red object reach the yellow mat?,no,no,1
54,Did the red object reach the yellow mat?,yes,yes,1
55,Did the red object reach the yellow mat?,no,no,1
56,Did the red object reach the yellow mat?,yes,yes,1
57,Did the red object reach the yellow mat?,no,yes,0
58,Did the red object reach the yellow mat?,no,no,1
59,Did the red object reach the yellow mat?,no,no,1
60,Did the red object reach the yellow mat?,no,yes,0
61,Did the red object reach the yellow mat?,no,no,1
62,Did the red object reach the yellow mat?,yes,no,0
63,Did the red object reach the yellow mat?,no,no,1
64,Did the red object reach the yellow mat?,no,yes,0
65,Did the red object reach the yellow mat?,yes,yes,1
66,Did the red object reach the yellow mat?,yes,yes,1
67,Did the red object reach the yellow mat?,no,no,1
68,Did the red object reach the yellow mat?,yes,yes,1
69,Did the red object reach the yellow mat?,yes,yes,1
70,Did the red object reach the yellow mat?,yes,yes,1
71,Did the red object reach the yellow mat?,no,no,1
72,Did the red object reach the yellow mat?,no,no,1
73,Did the red object reach the yellow mat?,yes,yes,1
74,Did the red object reach the yellow mat?,yes,yes,1
75,Did the red object reach the yellow mat?,yes,yes,1
76,Did the red object reach the yellow mat?,yes,no,0
77,Did the red object reach the yellow mat?,yes,yes,1
78,Did the red object reach the yellow mat?,no,yes,0
79,Did the red object reach the yellow mat?,no,no,1
80,Did the red object reach the yellow mat?,no,no,1
81,Did the red object reach the yellow mat?,yes,yes,1
82,Did the red object reach the yellow mat?,yes,yes,1
83,Did the red object reach the yellow mat?,yes,yes,1
84,Did the red object reach the yellow mat?,yes,yes,1
85,Did the red object reach the yellow mat?,yes,yes,1
86,Did the red object reach the yellow mat?,no,no,1
87,Did the red object reach the yellow mat?,no,no,1
88,Did the red object reach the yellow mat?,yes,yes,1
89,Did the red object reach the yellow mat?,no,yes,0
90,Did the red object reach the yellow mat?,no,yes,0
91,Did the red object reach the yellow mat?,no,no,1
92,Did the red object reach the yellow mat?,yes,yes,1
93,Did the red object reach the yellow mat?,yes,no,0
94,Did the red object reach the yellow mat?,yes,yes,1
95,Did the red object reach the yellow mat?,yes,yes,1
96,Did the red object reach the yellow mat?,yes,yes,1
97,Did the red object reach the yellow mat?,yes,yes,1
98,Did the red object reach the yellow mat?,no,yes,0
99,Did the red object reach the yellow mat?,yes,yes,1
100,Did the red object reach the yellow mat?,no,no,1
101,Did the red object reach the yellow mat?,no,yes,0
102,Did the red object reach the yellow mat?,no,no,1
103,Did the red object reach the yellow mat?,no,no,1
104,Did the red object reach the yellow mat?,yes,yes,1
105,Did the red object reach the yellow mat?,yes,no,0
106,Did the red object reach the yellow mat?,yes,yes,1
107,Did the red object reach the yellow mat?,yes,yes,1
108,Did the red object reach the yellow mat?,yes,yes,1
109,Did the red object reach the yellow mat?,yes,yes,1
110,Did the red object reach the yellow mat?,yes,no,0
111,Did the red object reach the yellow mat?,yes,no,0
112,Did the red object reach the yellow mat?,yes,yes,1
113,Did the red object reach the yellow mat?,yes,yes,1
114,Did the red object reach the yellow mat?,yes,yes,1
115,Did the red object reach the yellow mat?,no,no,1
116,Did the red object reach the yellow mat?,yes,yes,1
117,Did the red object reach the yellow mat?,no,no,1
118,Did the red object reach the yellow mat?,no,yes,0
119,Did the red object reach the yellow mat?,no,yes,0
120,Did the red object reach the yellow mat?,yes,yes,1
121,Did the red object reach the yellow mat?,no,yes,0
122,Did the red object reach the yellow mat?,no,no,1
123,Did the red object reach the yellow mat?,no,yes,0
124,Did the red object reach the yellow mat?,yes,yes,1
125,Did the red object reach the yellow mat?,yes,yes,1
126,Did the red object reach the yellow mat?,no,no,1
127,Did the red object reach the yellow mat?,no,no,1
128,Did the red object reach the yellow mat?,no,yes,0
129,Did the red object reach the yellow mat?,yes,yes,1
130,Did the red object reach the yellow mat?,yes,yes,1
131,Did the red object reach the yellow mat?,no,yes,0
132,Did the red object reach the yellow mat?,no,yes,0
133,Did the red object reach the yellow mat?,yes,yes,1
134,Did the red object reach the yellow mat?,no,no,1
135,Did the red object reach the yellow mat?,yes,yes,1
