row_idx,question_id,frames_dir,n_frames,correct,raw_score,category,prompt
0,video_10003_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,Are there any stationary red objects when the video begins?
1,video_10003_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many stationary blue objects are there when the cube enters the scene?
2,video_10003_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many rubber objects are stationary when the video ends?
3,video_10003_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What is the color of the object to collide with the yellow cube?
4,video_10003_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What material is the object to collide with the rubber sphere?
5,video_10003_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What material is the last object to collide with the blue sphere?
6,video_10003_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What shape is the yellow object that is stationary when the video begins?
7,video_10003_7,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,What is the material of the yellow object that is stationary when the cylinder enters the scene?
8,video_10003_8,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,Are there any cylinders that enter the scene after the cube enters the scene?
9,video_10003_9,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many rubber objects enter the scene?
10,video_10003_10,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10003,8,1,1.0,descriptive,How many yellow objects enter the scene?
11,video_10004_0,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,Are there any moving red objects?
12,video_10004_1,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,How many moving yellow objects are there when the video begins?
13,video_10004_2,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,How many objects are moving when the video ends?
14,video_10004_3,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,What material is the last object to collide with the yellow object?
15,video_10004_4,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,What material is the first object to collide with the yellow object?
16,video_10004_5,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,1,1.0,descriptive,What is the material of the first object to collide with the yellow cube?
17,video_10004_6,/home/ievab2/run_models/CLEVRER_dataset/validation_frames/video_10000-11000/video_10004,8,0,0.0,descriptive,What is the shape of the blue object that is moving when the video ends?
